内蒙古组播,#genre#
江西卫视,http://221.223.18.142:8888/rtp/239.3.1.123:8164
江西卫视,http://221.219.99.74:8005/rtp/239.3.1.123:8164
湖北卫视,http://221.223.18.142:8888/rtp/239.3.1.138:8044
湖北卫视,http://221.219.99.74:8005/rtp/239.3.1.138:8044
旅游卫视,http://221.223.18.142:8888/rtp/239.3.1.45:8304
旅游卫视,http://221.219.99.74:8005/rtp/239.3.1.45:8304
陕西卫视,http://221.223.18.142:8888/rtp/239.3.1.41:8140
陕西卫视,http://221.219.99.74:8005/rtp/239.3.1.41:8140
东南卫视,http://221.223.18.142:8888/rtp/239.3.1.156:8148
东南卫视,http://221.219.99.74:8005/rtp/239.3.1.156:8148
厦门卫视,http://221.223.18.142:8888/rtp/239.3.1.143:4120
厦门卫视,http://221.219.99.74:8005/rtp/239.3.1.143:4120
吉林卫视,http://221.223.18.142:8888/rtp/239.3.1.240:8172
吉林卫视,http://221.219.99.74:8005/rtp/239.3.1.240:8172
辽宁卫视,http://221.223.18.142:8888/rtp/239.3.1.210:8056
辽宁卫视,http://221.219.99.74:8005/rtp/239.3.1.210:8056
内蒙古卫视,http://221.223.18.142:8888/rtp/239.3.1.43:8176
内蒙古卫视,http://221.219.99.74:8005/rtp/239.3.1.43:8176
湖南卫视,http://221.223.18.142:8888/rtp/239.3.1.132:8012
湖南卫视,http://221.219.99.74:8005/rtp/239.3.1.132:8012
